complaint_id,complaint_text,category,submitted_via,created_date
100000,My account was locked without reason happening for the last 3? days,Account Management,Email,09-01-2024
100001,"<p>Late<br>fee applied even though I paid, on time no response from support</p>",Billing,Email,20-03-2024
100002,Unable<br>to connect to the server need!! urgent help,Technical Support,Email,04-10-2024
100003,The<br>website is extremely... slow and unresponsive happening for the last 3 days,Technical Support,Email,06-06-2024
100004,The<br>item does not! function as expected please resolve asap,Product Issue,Phone,04-05-2024
100005,"<p>Late<br>fee, applied even though I paid on time no response from support</p>",Billing,Chat,09-02-2024
100006,<b>App crashes whenever I try... to open it no response from support</b>,Technical Support,Phone,13-03-2024
100007,I<br>was charged twice for my last## bill please resolve asap,Billing,Website,19-09-2024
100008,The<br>website is extremely## slow and unresponsive happening for the last 3 days,Technical Support,Phone,15-02-2024
100009,<b>Unauthorized changes made to my account happening for the last. 3 days</b>,Account Management,Phone,20-09-2024
100010,<p>Internet connection keeps dropping frequently need? urgent help</p>,Technical Support,Chat,02-06-2024
100011,<b>Password reset link is not working happening for the last 3 days</b>,Account Management,Email,01-06-2024
100012,<i>The item does not function! as expected please resolve asap</i>,Product Issue,Phone,13-08-2024
100013,<i>Received<br>a damaged product please resolve asap</i>,Product Issue,Phone,06-07-2024
100014,<p>My payment was successful but the bill still shows! unpaid please resolve asap</p>,Billing,Chat,14-02-2024
100015,The item does## not function as expected please resolve asap,Product Issue,Phone,19-06-2024
100016,"<p>My<br>payment was successful but the bill still shows, unpaid no response from support</p>",Billing,Website,25-01-2024
100017,<b>Unexpected charges added without notificationI cancelled my order but refund is still pendingMoney deducted but refund not credited happening for the last 3 days</b>,Billing,Phone,20-03-2024
100018,<b>The product stopped working within a week this is unacceptable</b>,Product Issue,Phone,27-06-2024
100019,<b>I want to file a general complaint please... resolve asap</b>,Other,Phone,18-07-2024
100020,<p>The product stopped working within a week no response? from support</p>,Product Issue,Phone,02-09-2024
100021,Unable to? login to my account happening for the last 3 days,Account Management,Email,15-10-2024
100022,<b>Password reset link is not working please resolve asap</b>,Account Management,Chat,19-03-2024
100023,Received a damaged product please resolve asap,Product Issue,Chat,21-10-2024
100024,<i>My<br>account was locked without reason please resolve! asap</i>,Account Management,Website,24-03-2024
100025,<b>Unable to connect to the! server no response from support</b>,Technical Support,Email,21-08-2024
100026,<i>Facing<br>issues updating account details need urgent help</i>,Account Management,Email,18-10-2024
100027,Very<br>unhappy with the overall service this... is unacceptable,Other,Email,23-07-2024
100028,Incorrect charges... have appeared on my invoice no response from support,Billing,Email,06-01-2024
100029,<i>App crashes whenever I try to?? open it please resolve asap</i>,Technical Support,Email,21-02-2024
100030,<p>Missing components in the package happening! for the last 3 days</p>,Product Issue,Email,01-01-2024
100031,I<br>want to file a general complaint please! resolve asap,Other,Chat,10-05-2024
100032,<i>I<br>was charged twice. for my last bill please resolve asap</i>,Billing,Phone,31-05-2024
100033,Unable to connect to the server this! is unacceptable,Technical Support,Email,02-07-2024
100034,<b>Missing components in the package need... urgent help</b>,Product Issue,Phone,24-08-2024
