complaint_id,complaint_text,category,submitted_via,created_date
100000,Unable to login to my account need urgent. help,Account Management,Chat,23-06-2024
100001,<b>My account was locked without reason please resolve asap</b>,Account Management,Email,15-05-2024
100002,Facing error code while using... the service this is unacceptable,Technical Support,Chat,12-08-2024
100003,App crashes whenever I try to open it no response from support,Technical Support,Chat,26-06-2024
100004,Service experience was poor! please resolve asap,Other,Phone,25-09-2024
100005,<b>My payment was successful but the bill still shows?? unpaid happening for the last 3 days</b>,Billing,Email,26-06-2024
100006,The<br>product stopped. working within a week no response from support,Product Issue,Chat,19-10-2024
100007,Unable to login to my account no response from support,Account Management,Email,25-09-2024
100008,Missing<br>components in the package please resolve asap,Product Issue,Website,08-08-2024
100009,I<br>want to file a general complaint need urgent help,Other,Phone,06-05-2024
100010,<i>The<br>product!! stopped working within a week happening for the last 3 days</i>,Product Issue,Chat,27-02-2024
100011,"Password<br>reset, link is not working need urgent help",Account Management,Email,31-07-2024
100012,App<br>crashes whenever. I try to open it no response from support,Technical Support,Email,29-01-2024
100013,<b>Unable to login to... my account happening for the last 3 days</b>,Account Management,Phone,17-03-2024
100014,Customer support did not respond to my emails happening for the last 3 days,Other,Website,17-07-2024
100015,<i>Password reset link is not working! need urgent help</i>,Account Management,Phone,09-07-2024
100016,My payment was successful but the bill still shows!! unpaid happening for the last 3 days,Billing,Phone,14-05-2024
100017,<p>Unauthorized changes made! to my account no response from support</p>,Account Management,Phone,23-08-2024
100018,I<br>want to file a general complaint! this is unacceptable,Other,Email,06-08-2024
100019,Facing error code while using the service please resolve asap,Technical Support,Phone,06-03-2024
100020,Very unhappy with the overall service this is unacceptable,Other,Chat,17-05-2024
100021,<i>Facing error code while using the service no response from support</i>,Technical Support,Phone,05-02-2024
100022,Unable to login to my account this! is unacceptable,Account Management,Phone,22-10-2024
100023,Facing issues updating account details this is unacceptable,Account Management,Phone,12-03-2024
100024,Internet connection keeps dropping frequently need urgent help,Technical Support,Chat,31-05-2024
100025,Facing issues. updating account details no response from support,Account Management,Email,09-06-2024
100026,Service<br>experience! was poor need urgent help,Other,Website,21-03-2024
100027,Unable to## connect to the server no response from support,Technical Support,Chat,28-08-2024
100028,<i>My payment was successful but the bill still shows unpaid please resolve asap</i>,Billing,Phone,24-08-2024
100029,<b>Incorrect charges have appeared on my invoice need urgent## help</b>,Billing,Chat,27-01-2024
100030,Facing issues updating account details need urgent help,Account Management,Phone,09-03-2024
100031,"Facing issues updating, account details please resolve asap",Account Management,Phone,08-01-2024
100032,App crashes whenever I try to open it! happening for the last 3 days,Technical Support,Chat,14-05-2024
100033,"Need<br>clarification regarding, company policy need urgent help",Other,Chat,17-05-2024
100034,I was charged twice for my last bill happening for the last 3 days,Billing,Email,05-06-2024
100035,Missing components in the package no response from! support,Product Issue,Chat,29-08-2024
100036,<b>My<br>account was locked without reason need urgent!! help</b>,Account Management,Email,24-09-2024
100037,<p>Product quality is not as advertised please resolve asap</p>,Product Issue,Chat,10-08-2024
100038,Missing components in. the package this is unacceptable,Product Issue,Chat,04-05-2024
100039,Facing<br>issues updating account details happening for the last 3 days,Account Management,Phone,12-08-2024
100040,My account was locked without reason no response from!! support,Account Management,Website,05-01-2024
100041,<p>Customer<br>support did not respond to my emails please resolve asap</p>,Other,Website,28-06-2024
100042,Incorrect charges## have appeared on my invoice no response from support,Billing,Phone,09-06-2024
100043,<i>I was charged twice for my last bill happening for the last 3## days</i>,Billing,Email,26-02-2024
100044,"<b>Unable to connect, to the server please resolve asap</b>",Technical Support,Phone,13-07-2024
100045,"Very unhappy with the overall service happening for the last 3, days",Other,Email,11-08-2024
100046,<i>Unable<br>to login to my account need urgent help</i>,Account Management,Email,21-07-2024
100047,<i>Facing error code while using?? the service no response from support</i>,Technical Support,Website,24-01-2024
100048,<p>Internet connection keeps dropping frequently happening for the last 3. days</p>,Technical Support,Phone,18-08-2024
100049,Incorrect<br>charges have appeared on my invoice need urgent? help,Billing,Website,21-02-2024
100050,<p>Incorrect charges have appeared on my invoice please resolve asap</p>,Billing,Phone,25-09-2024
100051,<b>Very unhappy with the overall service no?? response from support</b>,Other,Phone,18-05-2024
100052,The website is extremely slow and## unresponsive no response from support,Technical Support,Website,20-01-2024
100053,Customer support did not respond to my emails this is unacceptable,Other,Chat,30-04-2024
100054,<i>Customer<br>support did not respond to my emails need urgent help</i>,Other,Email,21-08-2024
100055,Customer support. did not respond to my emails this is unacceptable,Other,Phone,16-01-2024
100056,Service experience was poor please resolve asap,Other,Website,10-02-2024
100057,<i>Internet connection keeps dropping frequently need urgent help</i>,Technical Support,Website,30-07-2024
100058,Very<br>unhappy with the... overall service need urgent help,Other,Email,06-06-2024
100059,<p>Incorrect charges!! have appeared on my invoice need urgent help</p>,Billing,Phone,11-08-2024
100060,The website is extremely slow and unresponsive this is? unacceptable,Technical Support,Chat,25-02-2024
100061,"The<br>product stopped working within a week no, response from support",Product Issue,Phone,12-04-2024
100062,The website is extremely slow and unresponsive please?? resolve asap,Technical Support,Phone,28-08-2024
100063,<p>App<br>crashes whenever I try to open it this is... unacceptable</p>,Technical Support,Phone,21-06-2024
100064,I want to file a general complaint... need urgent help,Other,Website,31-01-2024
100065,Need clarification regarding company policy please resolve asap,Other,Phone,24-10-2024
100066,<i>App<br>crashes whenever I try to open it!! please resolve asap</i>,Technical Support,Website,15-08-2024
100067,"<i>The product, stopped working within a week need urgent help</i>",Product Issue,Chat,07-07-2024
100068,I<br>want to file a general complaint need urgent help,Other,Phone,05-06-2024
100069,"Product quality is not as advertised, please resolve asap",Product Issue,Phone,28-03-2024
100070,<i>Very unhappy with the overall service## this is unacceptable</i>,Other,Phone,03-06-2024
100071,I want to file a general complaint this is unacceptable,Other,Email,23-10-2024
100072,Unauthorized changes made to my account## please resolve asap,Account Management,Website,22-02-2024
100073,<p>Unable<br>to connect to?? the server this is unacceptable</p>,Technical Support,Website,25-07-2024
100074,Facing<br>issues updating account details? need urgent help,Account Management,Chat,12-09-2024
100075,App crashes whenever. I try to open it need urgent help,Technical Support,Chat,21-01-2024
100076,Very unhappy with the overall service happening for the last 3 days,Other,Website,28-06-2024
100077,Customer<br>support did!! not respond to my emails no response from support,Other,Phone,24-08-2024
100078,Incorrect<br>charges have appeared on my invoice. no response from support,Billing,Email,27-06-2024
100079,Facing issues updating account details need## urgent help,Account Management,Chat,01-10-2024
100080,The website is extremely slow and unresponsive please resolve asap,Technical Support,Chat,17-03-2024
100081,Incorrect charges have appeared on my invoice need urgent help,Billing,Phone,26-06-2024
100082,Received a damaged product no response from. support,Product Issue,Phone,05-09-2024
100083,Unexpected<br>charges added without notification please resolve asap,Billing,Phone,16-02-2024
100084,I<br>want to file a## general complaint this is unacceptable,Other,Email,27-04-2024
100085,"<p>The<br>website, is extremely slow and unresponsive this is unacceptable</p>",Technical Support,Chat,17-04-2024
100086,<p>I was charged twice. for my last bill happening for the last 3 days</p>,Billing,Chat,03-01-2024
100087,I want to file a general complaint please resolve asap,Other,Phone,28-06-2024
100088,Product<br>quality is not as advertised need?? urgent help,Product Issue,Email,12-08-2024
100089,<b>Product<br>quality is not? as advertised please resolve asap</b>,Product Issue,Email,29-06-2024
100090,Unauthorized changes made to my?? account please resolve asap,Account Management,Email,21-06-2024
100091,"<p>Unauthorized changes made to my account please, resolve asap</p>",Account Management,Email,09-06-2024
100092,<p>The product stopped working within a week need urgent help</p>,Product Issue,Chat,03-10-2024
100093,"<b>Service<br>experience was poor this is, unacceptable</b>",Other,Email,17-08-2024
100094,Very<br>unhappy with the overall service. need urgent help,Other,Email,09-07-2024
100095,My payment was successful but the bill still shows. unpaid need urgent help,Billing,Phone,11-01-2024
100096,<i>The website is extremely slow and!! unresponsive no response from support</i>,Technical Support,Website,10-09-2024
100097,Facing error code while using the service!! this is unacceptable,Technical Support,Chat,16-02-2024
100098,Unauthorized changes made? to my account need urgent help,Account Management,Chat,18-09-2024
100099,<i>Unexpected charges added without notification no response from support</i>,Billing,Chat,29-01-2024
100100,My account was locked without reason happening for the last 3 days,Account Management,Email,26-02-2024
100101,The product stopped!! working within a week happening for the last 3 days,Product Issue,Chat,09-09-2024
100102,Internet connection... keeps dropping frequently need urgent help,Technical Support,Website,24-04-2024
100103,Customer support did... not respond to my emails please resolve asap,Other,Website,06-02-2024
100104,<i>Received a damaged product happening for the last! 3 days</i>,Product Issue,Chat,24-03-2024
100105,Incorrect<br>charges have appeared on my invoice happening! for the last 3 days,Billing,Chat,21-04-2024
100106,<p>Password<br>reset link is not working no response from support</p>,Account Management,Email,14-01-2024
100107,Facing error code while... using the service need urgent help,Technical Support,Website,19-04-2024
100108,The item does not function as expected no response from support,Product Issue,Chat,14-03-2024
100109,Unable<br>to login to... my account happening for the last 3 days,Account Management,Website,22-01-2024
100110,My account was locked without. reason please resolve asap,Account Management,Website,02-05-2024
100111,<p>Password reset? link is not working happening for the last 3 days</p>,Account Management,Email,14-01-2024
100112,"Very unhappy with the overall service need urgent, help",Other,Phone,22-07-2024
100113,<i>Password<br>reset link is not working... this is unacceptable</i>,Account Management,Website,26-10-2024
100114,My payment was successful but the bill still## shows unpaid please resolve asap,Billing,Website,15-09-2024
100115,Need<br>clarification regarding company policy! please resolve asap,Other,Chat,03-02-2024
100116,<p>Unable<br>to connect to. the server please resolve asap</p>,Technical Support,Website,04-07-2024
100117,<p>Service experience was poor... this is unacceptable</p>,Other,Website,03-04-2024
100118,The<br>website is extremely slow and unresponsive no response from support,Technical Support,Chat,05-04-2024
100119,My payment was successful but the bill still## shows unpaid need urgent help,Billing,Phone,15-06-2024
100120,<p>Missing<br>components in... the package no response from support</p>,Product Issue,Chat,16-07-2024
100121,The product stopped? working within a week need urgent help,Product Issue,Website,29-05-2024
100122,<p>Customer support did not respond?? to my emails happening for the last 3 days</p>,Other,Website,19-02-2024
100123,"Unexpected charges added without notification this is, unacceptable",Billing,Phone,18-07-2024
100124,Service experience was poor need urgent help,Other,Email,02-01-2024
100125,Very<br>unhappy with the overall?? service no response from support,Other,Phone,17-01-2024
100126,Facing issues updating account details! please resolve asap,Account Management,Chat,26-04-2024
100127,The item does not function as expected need urgent!! help,Product Issue,Email,20-01-2024
100128,<i>The item does not function as expected no response from support</i>,Product Issue,Website,29-09-2024
100129,<p>The website is extremely slow and unresponsive?? this is unacceptable</p>,Technical Support,Email,26-02-2024
100130,<b>Facing issues updating account details need... urgent help</b>,Account Management,Email,07-09-2024
100131,My account was locked without reason need urgent help,Account Management,Email,27-10-2024
100132,"<b>Unable to connect to the server, need urgent help</b>",Technical Support,Chat,14-04-2024
100133,The website is extremely slow and unresponsive no response from support,Technical Support,Email,04-08-2024
100134,Customer support did not## respond to my emails need urgent help,Other,Chat,25-10-2024
100135,Unauthorized changes made to my account this is unacceptable,Account Management,Website,18-01-2024
100136,Product<br>quality is not as advertised happening for the last 3 days,Product Issue,Email,02-02-2024
100137,Unable to connect to the server need## urgent help,Technical Support,Email,30-09-2024
100138,<b>Missing components in the package please resolve asap</b>,Product Issue,Website,17-04-2024
100139,<i>I was charged twice for my last bill please resolve asap</i>,Billing,Email,07-07-2024
100140,My payment? was successful but the bill still shows unpaid this is unacceptable,Billing,Phone,08-07-2024
100141,The item?? does not function as expected please resolve asap,Product Issue,Chat,11-02-2024
100142,Missing components in the package? need urgent help,Product Issue,Phone,01-06-2024
100143,The<br>product stopped working within a week this is unacceptable,Product Issue,Website,12-01-2024
100144,Incorrect charges have appeared on my invoice this is unacceptable,Billing,Website,21-02-2024
100145,<i>I want to file a general complaint this is unacceptable</i>,Other,Chat,21-03-2024
100146,Internet connection keeps dropping frequently please! resolve asap,Technical Support,Chat,04-08-2024
100147,Facing error code while using the service no response## from support,Technical Support,Email,04-06-2024
100148,I want## to file a general complaint no response from support,Other,Chat,17-06-2024
100149,Late<br>fee applied even though I... paid on time happening for the last 3 days,Billing,Phone,01-03-2024
100150,<b>Product quality is not as advertised happening for the last 3 days</b>,Product Issue,Email,29-08-2024
100151,<i>My<br>payment was successful but the bill? still shows unpaid need urgent help</i>,Billing,Website,17-05-2024
100152,The product stopped working within a week happening for the last 3 days,Product Issue,Website,04-09-2024
100153,<p>My account was locked without reason please resolve asap</p>,Account Management,Email,30-07-2024
100154,Need clarification regarding company policy this is. unacceptable,Other,Phone,15-01-2024
100155,Customer support did## not respond to my emails please resolve asap,Other,Phone,01-02-2024
100156,<p>Unable<br>to connect to the server no response from support</p>,Technical Support,Phone,15-05-2024
100157,The<br>item does not function as expected. please resolve asap,Product Issue,Chat,21-10-2024
100158,Incorrect charges have appeared on my invoice this is. unacceptable,Billing,Chat,08-06-2024
100159,Product quality is not as advertised## happening for the last 3 days,Product Issue,Chat,17-04-2024
100160,<b>I want to file a general... complaint no response from support</b>,Other,Email,12-01-2024
100161,Unable to connect to the!! server this is unacceptable,Technical Support,Phone,18-08-2024
100162,<p>My payment was successful but the bill still shows unpaid happening for the last 3 days</p>,Billing,Email,01-08-2024
100163,<b>Service experience was poor! happening for the last 3 days</b>,Other,Email,21-08-2024
100164,<p>The<br>product stopped working within a week no response from support</p>,Product Issue,Website,19-01-2024
100165,Unable to. connect to the server no response from support,Technical Support,Phone,22-07-2024
100166,Very<br>unhappy with the overall service... need urgent help,Other,Website,28-07-2024
100167,Incorrect<br>charges have appeared on my invoice this is!! unacceptable,Billing,Website,18-09-2024
100168,"Unable to login, to my account this is unacceptable",Account Management,Website,24-08-2024
100169,"<p>Need clarification, regarding company policy no response from support</p>",Other,Chat,26-07-2024
100170,My<br>payment was successful but the bill still shows unpaid need urgent help,Billing,Phone,15-06-2024
100171,<b>I want to file## a general complaint need urgent help</b>,Other,Email,22-01-2024
100172,Customer support did? not respond to my emails please resolve asap,Other,Website,19-01-2024
100173,<b>My account was locked without reason! happening for the last 3 days</b>,Account Management,Chat,22-07-2024
100174,<i>The item## does not function as expected need urgent help</i>,Product Issue,Website,09-10-2024
100175,Service experience was poor please resolve asap,Other,Email,15-02-2024
100176,Unauthorized changes made. to my account need urgent help,Account Management,Website,24-03-2024
100177,The product stopped working within a week no response from support,Product Issue,Phone,16-04-2024
100178,"Unexpected charges added without, notification please resolve asap",Billing,Email,28-05-2024
100179,<p>My account was locked without reason this. is unacceptable</p>,Account Management,Chat,20-04-2024
100180,Incorrect charges!! have appeared on my invoice this is unacceptable,Billing,Website,13-08-2024
100181,<b>The website is extremely slow and?? unresponsive no response from support</b>,Technical Support,Email,30-06-2024
100182,The item does not function as expected please resolve asap,Product Issue,Chat,17-09-2024
100183,<b>Unable<br>to login to my? account this is unacceptable</b>,Account Management,Website,13-03-2024
100184,Service<br>experience was poor need urgent help,Other,Chat,27-09-2024
100185,App crashes whenever I try to open it no response from support,Technical Support,Website,27-06-2024
100186,<p>Received a damaged product this is unacceptable</p>,Product Issue,Email,29-08-2024
100187,Missing components## in the package need urgent help,Product Issue,Phone,18-09-2024
100188,I was charged twice for my last bill need?? urgent help,Billing,Website,11-09-2024
100189,Incorrect charges have? appeared on my invoice please resolve asap,Billing,Phone,10-07-2024
100190,Unauthorized changes?? made to my account no response from support,Account Management,Chat,05-10-2024
100191,Facing issues updating account details need urgent?? help,Account Management,Email,05-09-2024
100192,Unable to login to my account no response from! support,Account Management,Phone,21-08-2024
100193,Customer support did not respond to? my emails no response from support,Other,Chat,23-02-2024
100194,<p>Unexpected<br>charges added without notification no response## from support</p>,Billing,Website,12-02-2024
100195,<b>Unauthorized changes made to my account need urgent help</b>,Account Management,Email,19-04-2024
100196,Late fee applied even though I paid on time please resolve asap,Billing,Chat,12-07-2024
100197,Unauthorized changes!! made to my account this is unacceptable,Account Management,Phone,06-04-2024
100198,<p>Product quality is not as advertised no response from support</p>,Product Issue,Phone,21-04-2024
100199,Password<br>reset link is not working happening for the!! last 3 days,Account Management,Website,30-06-2024
100200,I want to file a general complaint please resolve. asap,Other,Email,03-09-2024
100201,The product stopped working within a week this is unacceptable,Product Issue,Website,04-08-2024
100202,Unable<br>to!! login to my account no response from support,Account Management,Website,09-07-2024
100203,<p>My account was locked without reason please?? resolve asap</p>,Account Management,Phone,04-10-2024
100204,I<br>want to file a general complaint happening for the last 3 days,Other,Chat,21-06-2024
100205,Customer support did not respond to my emails please resolve asap,Other,Email,01-01-2024
100206,<p>The product stopped working within a week please resolve asap</p>,Product Issue,Chat,11-03-2024
100207,Missing<br>components in. the package this is unacceptable,Product Issue,Website,20-04-2024
100208,<i>The<br>item does not function as expected this is? unacceptable</i>,Product Issue,Email,09-06-2024
100209,Need<br>clarification regarding company policy no response from support,Other,Email,10-06-2024
100210,<i>Incorrect<br>charges have## appeared on my invoice no response from support</i>,Billing,Email,02-09-2024
100211,Missing components in the? package need urgent help,Product Issue,Phone,04-07-2024
100212,I want to file a general complaint happening for the last 3 days,Other,Email,14-06-2024
100213,App crashes whenever I try to open it this is. unacceptable,Technical Support,Chat,21-02-2024
100214,Service experience? was poor no response from support,Other,Email,17-03-2024
100215,<p>My account was locked without reason?? happening for the last 3 days</p>,Account Management,Phone,06-10-2024
100216,The website is extremely slow and unresponsive please... resolve asap,Technical Support,Chat,01-05-2024
100217,I want? to file a general complaint please resolve asap,Other,Website,31-07-2024
100218,Incorrect charges. have appeared on my invoice need urgent help,Billing,Email,04-05-2024
100219,<i>Need clarification regarding? company policy need urgent help</i>,Other,Website,20-06-2024
100220,Facing error code while using the service need urgent help,Technical Support,Chat,18-03-2024
100221,Unexpected<br>charges added without notification! this is unacceptable,Billing,Email,04-04-2024
100222,App crashes whenever I try. to open it no response from support,Technical Support,Chat,05-07-2024
100223,<b>Incorrect charges have appeared on... my invoice please resolve asap</b>,Billing,Chat,08-05-2024
100224,<i>Late fee applied even though I paid... on time need urgent help</i>,Billing,Chat,07-04-2024
100225,<p>Very unhappy with the overall service this!! is unacceptable</p>,Other,Website,23-10-2024
100226,Very unhappy with the overall service this? is unacceptable,Other,Chat,03-09-2024
100227,The item does not function as expected no response from... support,Product Issue,Phone,11-06-2024
100228,<i>I was!! charged twice for my last bill this is unacceptable</i>,Billing,Email,04-03-2024
100229,<p>Unable to connect to the server no response from support</p>,Technical Support,Email,18-09-2024
100230,<i>Incorrect charges have?? appeared on my invoice please resolve asap</i>,Billing,Email,26-10-2024
100231,I was charged? twice for my last bill no response from support,Billing,Chat,25-01-2024
100232,<b>Very<br>unhappy with the?? overall service please resolve asap</b>,Other,Website,27-03-2024
100233,<i>Unable to login to my account this... is unacceptable</i>,Account Management,Chat,27-05-2024
100234,Password reset link is!! not working happening for the last 3 days,Account Management,Phone,22-07-2024
100235,Service experience was poor happening for the last 3 days,Other,Chat,27-06-2024
100236,The product stopped working within a week no response from support,Product Issue,Website,04-03-2024
100237,Incorrect<br>charges have appeared on my invoice this is? unacceptable,Billing,Phone,15-02-2024
100238,<b>The<br>item does not function as expected no response from support</b>,Product Issue,Website,01-09-2024
100239,<b>Facing error code while using the service? this is unacceptable</b>,Technical Support,Email,21-08-2024
100240,The item does?? not function as expected no response from support,Product Issue,Phone,19-01-2024
100241,<p>Unexpected charges added... without notification no response from support</p>,Billing,Phone,03-06-2024
100242,"The website is extremely slow and unresponsive this, is unacceptable",Technical Support,Website,29-08-2024
100243,<b>Incorrect<br>charges have appeared on my invoice... no response from support</b>,Billing,Chat,25-07-2024
