complaint_id,complaint_text,category,submitted_via,created_date,cleaned_text
100000,Unable to link. my social media account to GAME-ON no response from support,Account Management,Chat,29-08-2024,unable link social medium account game response support
100001,<b>Payment failed but amount was deducted from my bank no response from support</b>,Billing,Email,29-07-2024,payment fail amount deduct bank response support
100002,I want to give feedback about the game need urgent help,Other,Chat,01-09-2024,want give feedback game need urgent help
100003,<b>The app experience has worsened after recent updates happening for the last 3 days</b>,Other,Chat,09-03-2024,app experience worsen recent update happen last day
100004,<i>Matchmaking is!! unfair and places me with very high-level players no response from support</i>,Product Issue,Website,11-10-2024,matchmaking unfair place high level player response support
100005,<p>Unable to link my social media account to GAME-ON please resolve asap</p>,Account Management,Website,13-02-2024,unable link social medium account game please resolve asap
100006,Billing amount is higher than what was shown in the app no response from support,Billing,Email,01-01-2024,billing amount high show app response support
100007,<i>Unable to log in to my GAME-ON account need urgent help</i>,Account Management,Website,17-01-2024,unable log game account need urgent help
100008,Matchmaking is unfair and places me with very! high-level players please resolve asap,Product Issue,Email,08-04-2024,matchmaking unfair place high level player please resolve asap
100009,"<b>Lost access, to my account after recent update no response from support</b>",Account Management,Chat,21-09-2024,lose access account recent update response support
100010,Unable to link my social media account to GAME-ON no response from support,Account Management,Chat,20-10-2024,unable link social medium account game response support
100011,"<i>I want to give feedback about the game no response, from support</i>",Other,Chat,09-09-2024,want give feedback game response support
100012,<i>In-game rewards are not credited after completing missions no response?? from support</i>,Product Issue,Chat,21-09-2024,game reward credit complete mission response support
100013,The game freezes during gameplay and I lose progress please resolve asap,Technical Support,Phone,21-10-2024,game freeze gameplay lose progress please resolve asap
100014,Unable to link my social media account to GAME-ON need. urgent help,Account Management,Website,04-08-2024,unable link social medium account game need urgent help
100015,Purchased skins are not showing in my inventory need urgent help,Product Issue,Email,31-07-2024,purchase skin show inventory need urgent help
100016,<p>Poor service and lack of proper. support no response from support</p>,Other,Website,14-08-2024,poor service lack proper support response support
100017,<b>Password reset email is not arriving need urgent?? help</b>,Account Management,Chat,03-10-2024,password reset email arrive need urgent help
100018,"Daily challenges are missing in GAME-ON this, is unacceptable",Product Issue,Phone,27-01-2024,daily challenge miss game unacceptable
100019,<i>Subscription payment succeeded but... premium features are locked this is unacceptable</i>,Billing,Email,14-04-2024,subscription payment succeed premium feature lock unacceptable
100020,<p>Money was deducted but game coins were not credited this is unacceptable</p>,Billing,Chat,23-08-2024,money deduct game coin credit unacceptable
100021,<i>Game characters are unbalanced and unfair happening for the last 3 days</i>,Product Issue,Email,27-06-2024,game character unbalanced unfair happen last day
100022,"<i>My<br>account, was banned without any explanation this is unacceptable</i>",Account Management,Website,12-03-2024,account ban without explanation unacceptable
100023,"The app experience has worsened, after recent updates please resolve asap",Other,Email,12-02-2024,app experience worsen recent update please resolve asap
100024,GAME-ON crashes every time I try to start a match happening for the last 3 days,Technical Support,Phone,30-08-2024,game crash every time try start match happen last day
100025,Unable to. connect to GAME-ON servers no response from support,Technical Support,Phone,05-02-2024,unable connect game server response support
